,Name,RA (deg),DEC (deg),Signif_Avg,Pivot_Energy,Flux1000,Energy_Flux100,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,PLEC_IndexS,PLEC_ExpfactorS,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,CLASS1,CLASS2
2154,4FGL J0906.2-5337 ,136.5518,136.5518,5.6541996,25882.752,2.432525e-11,9.832607e-13,2.2369508e-16,1.676868,5.0822273e-16,1.4403476,0.9863368,2.810446,5.663892e-16,0.8742422,2.8175771,0.6666667,2.8373177,14.628407,14.12943,0.0,     ,          
2155,4FGL J0906.2-1707 ,136.5716,136.5716,6.3070316,5042.729,1.3917768e-10,1.5926329e-12,5.795843e-15,1.9252851,7.2810935e-15,1.7919589,0.15091933,1.3839061,7.209866e-15,1.7123132,0.21563993,0.6666667,1.5894973,171.74077,13.303359,0.0,bcu  ,          
2156,4FGL J0906.3-0905 ,136.5827,136.5827,20.085964,2114.4868,5.612113e-10,6.2357654e-12,1.2789662e-13,2.0477462,1.377081e-13,2.0048912,0.049908325,1.4699926,1.3758176e-13,1.9520483,0.074440666,0.6666667,2.0913947,815.8428,109.47547,0.852572,bll  ,          
2157,4FGL J0906.7+4950 ,136.6943,136.6943,4.590402,1668.3557,7.981262e-11,1.016502e-12,3.2488393e-14,2.3603816,3.5062478e-14,2.316924,0.06274343,0.3931171,3.582405e-14,2.2150567,0.14065546,0.6666667,0.8623165,251.9271,22.835812,0.54352504,fsrq ,          
2158,4FGL J0906.8-2122 ,136.7046,136.7046,16.655075,719.09766,4.67987e-10,5.316922e-12,1.7093639e-12,2.5567975,3.3784642e-12,2.543409,0.99315965,8.903355,3.4298404e-12,2.3801923,2.0341444,0.6666667,8.976177,1222.9637,6.311547,0.0,     ,          
2159,4FGL J0907.1+0856 ,136.7897,136.7897,4.755733,3491.4753,1.0021319e-10,6.520527e-13,8.666904e-15,2.0499816,1.4361142e-14,1.5216981,0.68630594,2.253405,1.3390534e-14,1.4493021,0.9256538,0.6666667,2.2590742,49.980473,6.792969,0.0,bll  ,          
2160,4FGL J0907.6-0606 ,136.9122,136.9122,4.084356,9315.704,5.3759018e-11,6.427734e-13,7.544898e-16,1.8457135,7.343795e-16,1.8634036,-0.015474234,0.12577051,7.942158e-16,1.749177,0.055819057,0.6666667,0.277788,59.32546,10.989953,0.0,     ,          
2161,4FGL J0908.7-4911 ,137.179,137.179,17.457138,1249.9512,2.4224176e-09,2.1906517e-11,1.5834181e-12,2.6407268,2.5904563e-12,2.8118246,0.49538073,8.862716,2.6608037e-12,2.6357367,1.1016212,0.6666667,8.919186,2599.8281,7.6426287,0.0,PSR  ,          
2162,4FGL J0908.9+2311 ,137.2412,137.2412,21.133251,3612.6924,4.9039117e-10,5.4134397e-12,4.048966e-14,1.8152642,4.4945266e-14,1.6326269,0.10226971,2.2536006,4.370329e-14,1.5842389,0.11506238,0.6666667,2.8881376,372.5941,17.5718,0.27946642,bll  ,          
2163,4FGL J0909.1+6647 ,137.2797,137.2797,4.7001977,5597.224,7.1080766e-11,7.8957267e-13,2.1896359e-15,2.0573997,1.9536724e-15,2.0807164,-0.050412778,0.6601886,2.1142675e-15,2.0953207,-0.019969964,0.6666667,0.22514623,151.36588,9.524436,0.0,bcu  ,          
